"Name","ID","Date","Time","Location","X","X.1","Latitude","Longitude","Temperature","X.2","Speed","Power","TidFix","nSats","nAlt","fHDOP","nActivity","datetime","Sex","Patch.ID","region","spp"
"T3HS-7351",300434066985790,2023-03-06,"00:00","//maps.google.com/maps?q=57.143503333333,-2.338010000000",NA,NA,57.143503,-2.33801,NA,NA,0,"3.02 V",40,15,NA,NA,";",2023-03-06 00:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-06,"06:00","//maps.google.com/maps?q=57.144418333333,-2.340448333333",NA,NA,57.144418,-2.340448,NA,NA,0,"3.02 V",42,11,NA,NA,";",2023-03-06 06:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-06,"12:00","//maps.google.com/maps?q=57.152226666667,-2.345778333333",NA,NA,57.152227,-2.345778,NA,NA,0,"3.02 V",30,5,NA,NA,";",2023-03-06 12:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-06,"18:00","//maps.google.com/maps?q=57.149461666667,-2.341118333333",NA,NA,57.149462,-2.341118,NA,NA,0,"3.02 V",41,9,NA,NA,";",2023-03-06 18:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-07,"00:00","//maps.google.com/maps?q=57.146831666667,-2.338160000000",NA,NA,57.146832,-2.33816,NA,NA,0,"3.02 V",40,14,NA,NA,";",2023-03-07 00:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-07,"06:00","//maps.google.com/maps?q=57.143805000000,-2.337403333333",NA,NA,57.143805,-2.337403,NA,NA,0,"3.02 V",42,15,NA,NA,";",2023-03-07 06:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-07,"12:01","//maps.google.com/maps?q=57.143453333333,-2.343660000000",NA,NA,57.143453,-2.34366,NA,NA,0,"3.02 V",70,5,NA,NA,";",2023-03-07 12:01:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-07,"18:00","//maps.google.com/maps?q=57.143451666667,-2.341313333333",NA,NA,57.143452,-2.341313,NA,NA,0,"3.02 V",30,6,NA,NA,";",2023-03-07 18:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-08,"00:00","//maps.google.com/maps?q=57.146916666667,-2.335311666667",NA,NA,57.146917,-2.335312,NA,NA,0,"3.02 V",30,9,NA,NA,";",2023-03-08 00:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-08,"06:00","//maps.google.com/maps?q=57.143120000000,-2.336953333333",NA,NA,57.14312,-2.336953,NA,NA,0,"3.02 V",30,9,NA,NA,";",2023-03-08 06:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-08,"12:00","//maps.google.com/maps?q=57.144876666667,-2.342850000000",NA,NA,57.144877,-2.34285,NA,NA,0,"3.02 V",43,12,NA,NA,";",2023-03-08 12:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-08,"18:00","//maps.google.com/maps?q=57.143968333333,-2.340041666667",NA,NA,57.143968,-2.340042,NA,NA,0,"3.02 V",59,5,NA,NA,";",2023-03-08 18:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-09,"00:00","//maps.google.com/maps?q=57.146323333333,-2.338921666667",NA,NA,57.146323,-2.338922,NA,NA,0,"3.02 V",30,9,NA,NA,";",2023-03-09 00:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-09,"06:00","//maps.google.com/maps?q=57.144131666667,-2.338276666667",NA,NA,57.144132,-2.338277,NA,NA,0,"3 V",41,15,NA,NA,";",2023-03-09 06:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-09,"12:00","//maps.google.com/maps?q=57.145165000000,-2.343611666667",NA,NA,57.145165,-2.343612,NA,NA,0,"3 V",30,8,NA,NA,";",2023-03-09 12:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-09,"18:00","//maps.google.com/maps?q=57.145286666667,-2.341006666667",NA,NA,57.145287,-2.341007,NA,NA,0,"3 V",41,11,NA,NA,";",2023-03-09 18:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-10,"00:00","//maps.google.com/maps?q=57.146863333333,-2.337993333333",NA,NA,57.146863,-2.337993,NA,NA,0,"3 V",40,15,NA,NA,";",2023-03-10 00:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-10,"06:00","//maps.google.com/maps?q=57.145035000000,-2.340298333333",NA,NA,57.145035,-2.340298,NA,NA,0,"3 V",52,14,NA,NA,";",2023-03-10 06:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-10,"12:00","//maps.google.com/maps?q=57.142748333333,-2.343425000000",NA,NA,57.142748,-2.343425,NA,NA,0,"3 V",42,9,NA,NA,";",2023-03-10 12:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-10,"18:00","//maps.google.com/maps?q=57.145035000000,-2.344435000000",NA,NA,57.145035,-2.344435,NA,NA,0,"3 V",42,10,NA,NA,";",2023-03-10 18:00:01,"F",1670,"Aberdeenshire","roe"
