"Animal_ID","variable","est","se","sig","variableType","colour","Animal_ID_colour"
"Roe06_F","log sl_ ",0.0572620195061337,0.0464007385140318,"Significant +","Step","#B54D17","<i style='color:#B54D17'>Roe06_F</i>"
"Roe06_F","cos ta_ ",-0.498937603967292,0.0357566694638046,"Significant -","Other","#E79559","<i style='color:#E79559'>Roe06_F</i>"
"Roe05_F","Evergreen Needleleaf Forest",0.223241080872096,0.201779559585327,"Significant +","Landuse","#B54D17","<i style='color:#B54D17'>Roe05_F</i>"
"Roe05_F","Cropland",-13.0823141269204,1476.06044996295,"Not Significant","Landuse","#505050","<i style='color:#505050'>Roe05_F</i>"
"Roe05_F","Tall Grassland",-0.508238936028682,0.180560210798001,"Significant -","Landuse","#E79559","<i style='color:#E79559'>Roe05_F</i>"
"Roe05_F","Short Grassland",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe05_F</i>"
"Roe05_F","Open Shrubland",0.410949339930558,0.19512355431823,"Significant +","Landuse","#B54D17","<i style='color:#B54D17'>Roe05_F</i>"
"Roe05_F","Barren",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe05_F</i>"
"Roe05_F","Permanent Wetland",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe05_F</i>"
"Roe05_F","Human Settlements",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe05_F</i>"
"Roe05_F","Other",-1.51885721682953,0.441423603396446,"Significant -","Landuse","#E79559","<i style='color:#E79559'>Roe05_F</i>"
"Roe05_F","Distance to Woodland",-0.00922442749457826,0.00171866830607839,"Significant -","Distance","#E79559","<i style='color:#E79559'>Roe05_F</i>"
"Roe05_F","Distance to Hedges",-0.00109716427118241,0.000492808454143601,"Significant -","Distance","#E79559","<i style='color:#E79559'>Roe05_F</i>"
"Roe05_F","Road Crossing",-0.47451574478001,0.243030864967238,"Significant -","Other","#E79559","<i style='color:#E79559'>Roe05_F</i>"
"Roe05_F","sl_",0.000821835802459445,0.000404665235830862,"Significant +","Step","#B54D17","<i style='color:#B54D17'>Roe05_F</i>"
"Roe05_F","log sl_ ",0.0485607248054782,0.0579347826486081,"Not Significant","Step","#505050","<i style='color:#505050'>Roe05_F</i>"
"Roe05_F","cos ta_ ",0.028805752154592,0.0593076095158204,"Not Significant","Other","#505050","<i style='color:#505050'>Roe05_F</i>"
"Roe04_F","Evergreen Needleleaf Forest",0.0638637221972047,0.0978990057491214,"Not Significant","Landuse","#505050","<i style='color:#505050'>Roe04_F</i>"
"Roe04_F","Cropland",0.28970780294002,0.102817449871615,"Significant +","Landuse","#B54D17","<i style='color:#B54D17'>Roe04_F</i>"
"Roe04_F","Tall Grassland",0.0710434764554838,0.113863693336308,"Not Significant","Landuse","#505050","<i style='color:#505050'>Roe04_F</i>"
"Roe04_F","Short Grassland",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe04_F</i>"
"Roe04_F","Open Shrubland",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe04_F</i>"
"Roe04_F","Barren",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe04_F</i>"
"Roe04_F","Permanent Wetland",-15.2920668346756,6251.79089343314,"Not Significant","Landuse","#505050","<i style='color:#505050'>Roe04_F</i>"
"Roe04_F","Human Settlements",-15.3251845382756,4474.98788999037,"Not Significant","Landuse","#505050","<i style='color:#505050'>Roe04_F</i>"
"Roe04_F","Other",-14.2898306809103,735.995477030098,"Not Significant","Landuse","#505050","<i style='color:#505050'>Roe04_F</i>"
"Roe04_F","Distance to Woodland",-0.00160484998631903,0.00072727446263765,"Significant -","Distance","#E79559","<i style='color:#E79559'>Roe04_F</i>"
"Roe04_F","Distance to Hedges",-0.00326676148219264,0.000485783202388836,"Significant -","Distance","#E79559","<i style='color:#E79559'>Roe04_F</i>"
"Roe04_F","Road Crossing",0.0519181653611713,0.0707548769757742,"Not Significant","Other","#505050","<i style='color:#505050'>Roe04_F</i>"
"Roe04_F","sl_",0.000763008212352711,0.000434145721594065,"Significant +","Step","#B54D17","<i style='color:#B54D17'>Roe04_F</i>"
"Roe04_F","log sl_ ",-0.0323220228756814,0.0440811870093288,"Not Significant","Step","#505050","<i style='color:#505050'>Roe04_F</i>"
"Roe04_F","cos ta_ ",-0.456991307878851,0.0357007311209038,"Significant -","Other","#E79559","<i style='color:#E79559'>Roe04_F</i>"
"Roe03_M","Evergreen Needleleaf Forest",0.322219215302012,0.16688407277538,"Significant +","Landuse","#B54D17","<i style='color:#B54D17'>Roe03_M</i>"
"Roe03_M","Cropland",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe03_M</i>"
"Roe03_M","Tall Grassland",1.12730897780221,0.674328062201008,"Significant +","Landuse","#B54D17","<i style='color:#B54D17'>Roe03_M</i>"
"Roe03_M","Short Grassland",-9.64990750707211,12303.5976808958,"Not Significant","Landuse","#505050","<i style='color:#505050'>Roe03_M</i>"
"Roe03_M","Open Shrubland",-13.6255162927181,2092.85203857267,"Not Significant","Landuse","#505050","<i style='color:#505050'>Roe03_M</i>"
"Roe03_M","Barren",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe03_M</i>"
"Roe03_M","Permanent Wetland",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe03_M</i>"
"Roe03_M","Human Settlements",-13.6619808595831,2704.29261591339,"Not Significant","Landuse","#505050","<i style='color:#505050'>Roe03_M</i>"
"Roe03_M","Other",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe03_M</i>"
"Roe03_M","Distance to Woodland",-0.0525657274128258,0.02063258274164,"Significant -","Distance","#E79559","<i style='color:#E79559'>Roe03_M</i>"
"Roe03_M","Distance to Hedges",0.000932832985840506,0.000736042409465571,"Significant +","Distance","#B54D17","<i style='color:#B54D17'>Roe03_M</i>"
"Roe03_M","Road Crossing",-0.0117905061661807,0.171411202351964,"Not Significant","Other","#505050","<i style='color:#505050'>Roe03_M</i>"
"Roe03_M","sl_",0.00058711316049814,0.000566623279124919,"Significant +","Step","#B54D17","<i style='color:#B54D17'>Roe03_M</i>"
"Roe03_M","log sl_ ",0.00148310932924549,0.0994168856888304,"Not Significant","Step","#505050","<i style='color:#505050'>Roe03_M</i>"
"Roe03_M","cos ta_ ",-0.824098995602644,0.0903898036991786,"Significant -","Other","#E79559","<i style='color:#E79559'>Roe03_M</i>"
"Roe02_F","Evergreen Needleleaf Forest",-0.49858535646416,0.0937952333468361,"Significant -","Landuse","#E79559","<i style='color:#E79559'>Roe02_F</i>"
"Roe02_F","Cropland",-0.930374809086425,0.206203639524526,"Significant -","Landuse","#E79559","<i style='color:#E79559'>Roe02_F</i>"
"Roe02_F","Tall Grassland",-0.795318500710255,0.118239594415822,"Significant -","Landuse","#E79559","<i style='color:#E79559'>Roe02_F</i>"
"Roe02_F","Short Grassland",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe02_F</i>"
"Roe02_F","Open Shrubland",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe02_F</i>"
"Roe02_F","Barren",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe02_F</i>"
"Roe02_F","Permanent Wetland",-15.5218945231254,2767.42644524238,"Not Significant","Landuse","#505050","<i style='color:#505050'>Roe02_F</i>"
"Roe02_F","Human Settlements",-14.2981364718917,897.772574613579,"Not Significant","Landuse","#505050","<i style='color:#505050'>Roe02_F</i>"
"Roe02_F","Other",-14.7042941080275,1090.52490434886,"Not Significant","Landuse","#505050","<i style='color:#505050'>Roe02_F</i>"
"Roe02_F","Distance to Woodland",0.00022172449190763,0.000850287095096373,"Not Significant","Distance","#505050","<i style='color:#505050'>Roe02_F</i>"
"Roe02_F","Distance to Hedges",0.000676286153898941,0.000274728672109525,"Significant +","Distance","#B54D17","<i style='color:#B54D17'>Roe02_F</i>"
